               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.021653,            0.010845,                   0,             0.99995,                   1,               0.995,             0.77329,            0.019296,              0.0058,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.018814,             0.01033,                   0,                   1,             0.99999,               0.995,             0.78834,            0.018345,           0.0057508,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019544,           0.0085853,                   0,                   1,             0.99999,               0.995,              0.7607,            0.019013,           0.0058381,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.018993,           0.0093573,                   0,                   1,             0.99996,               0.995,             0.77837,             0.01842,           0.0057864,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.017327,           0.0074635,                   0,                   1,             0.99997,               0.995,             0.77295,            0.018782,           0.0058634,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.019596,           0.0079074,                   0,                   1,             0.99997,               0.995,             0.77806,            0.018907,           0.0058279,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.018809,            0.014309,                   0,             0.98765,             0.99995,             0.99488,             0.76976,            0.018898,           0.0057931,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.018165,            0.010003,                   0,             0.99996,                   1,               0.995,             0.77119,            0.018642,           0.0057698,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.018471,           0.0089027,                   0,                   1,             0.99998,               0.995,             0.76927,            0.019152,           0.0057718,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.018914,            0.010861,                   0,                   1,             0.99999,               0.995,             0.78605,            0.018545,           0.0057715,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.018949,            0.010399,                   0,             0.99998,                   1,               0.995,             0.77923,            0.018682,           0.0058025,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,              0.0176,           0.0097707,                   0,                   1,             0.99996,               0.995,             0.77581,            0.018894,           0.0058134,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.017946,           0.0084884,                   0,                   1,                   1,               0.995,             0.77328,            0.018926,           0.0058008,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.017328,           0.0099973,                   0,                   1,             0.99998,               0.995,             0.75916,            0.019372,           0.0058792,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,             0.01703,            0.010211,                   0,             0.99997,                   1,               0.995,             0.76646,            0.019013,           0.0058413,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.017768,            0.011401,                   0,                   1,             0.99999,               0.995,             0.77342,            0.019125,           0.0057983,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.017917,           0.0078579,                   0,             0.99999,                   1,               0.995,             0.76798,            0.018701,           0.0057824,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.017882,            0.011494,                   0,             0.99997,                   1,               0.995,             0.77877,            0.018295,           0.0057658,                   0,           0.0010089,           0.0010089,           0.0010089
